Type,Description,Community,List Price,Sold Price,Taxes,Street Name,St#,Bedroom,BedPlus,Baths,Front,Parking Drive Spaces,Depth,Garage Type,Pool,Remarks For Brokers,Remarks For Clients,Extras,Basement1,Basement2
Detached,2-Storey,Amberlea,"$899,900","$1,218,000","$5,900",Fernam,1812,4,,4,49,2,105,Attached,None,"Furn'10,A/C Parts'16,Roof 10Yrs.L.A.Related To Sellers.Rm Sizes Are Approx. To Be Verified By Buyer Or Buyer Agent.Offers Will Be Reviewed March 14 @ 2:30 Pm.*Listed By Royal Lepage Burloak Real Estate Services, Brokerage*905-335-3042**Baker, Kelle**905-630-0836**","Beaut 4Bedrm Family Home In Amberlea.Nothing To Do But Move In!Kit U/D In'14:Quartz C/Tops& Island,Patio Doors&Wdws,Hunter Douglas Wdw Cvrgs&Vinyl Flooring.Kit Open To Family Rm W/Gas Fp.Master&Main Bathrms U/D In'15 W/Corian C/Tops,Pot Lights,Glass Shower W/Rainfall Showerhead(Master)&Added Cabinets(Main).Backyard Patio U/D In'10 W/New Fence!Furn'10,A/C Parts'16,Roof 10Yrs Old,Washer/Dryer Less Than 5Yrs.Schools&Amenities Within Walking Distance!","Kit U/D'14:Quartz C/Tops&Island,Patio Doors&Wdws,H/Douglas Shades.Mstr Bth'15:Corian C/Tops,Potlits,Gl.Shower,Ceramic Flr.Mn Bath'15:Corian C/Tops,Potlits,Added Cabs,Shower Door.B/Yd'10:Patio&Fence.*Rltrs Assoc.Of Hamilton-Burlington*",Finished,Full
Detached,2-Storey,Amberlea,"$797,800","$865,000","$5,609",Fernam,1804,4,1,3,45,2,110,Attached,None,"Pls Attach Schedule B And Form 801 To All Offers. Lockbox For Easy Showings, Offers Gratefully Accepted On Feb 1 , 2017. @7Pm Listing Broker Office -Register By 5Pm Seller Will Consider Pre- Emptive Offers. Thank You For Showing.","Fully Detached Home In One Of Pickering's Most Sought After Neighborhoods (Amberlea) 4 + 1 Bedrooms, 3 Bathrooms- Beautiful Layout With Comb Liv /Din Rooms..Family Sized Eat In Kitchen With Quartz Counters . Mn Flr F.R W/ F.P, Mn Flr Laundry W/ Garage Access ,Partial Fin Bsmt With Add'l B.R, Rec Room. W/O Deck To Gorgeous Treed Backyard ,Walking Distance To Schools, Transit , Amenities And Min To 401 And 407 . This Is One Home You Don't Want To Miss!","Gb&E, Central Air & Equipment, Cent Vac And Equip, Fridge, Stove, Washer,Dryer, B/I D/W, Elf's Broadloom Where Laid, All Window Coverings, Gdo And 2 Remotes",Full,Part Fin
Detached,2-Storey,Amberlea,"$639,898","$710,100","$4,064",Norfolk,536,3,,3,30,2,103,Attached,None,"Buyers And Buyer Agents To Verify All Tax Amounts And Room Measurements. Pls Attach Sched B & Form 801 To All Offers. Offers If Any To Be Presented Mon Feb 13th. Pls Reg By 6 Pm. Offers Presentation @ 8:30Pm *(Pickering), Pt 29, 40R7451; S/T A Right As In Lt195742 ; Pickering**","No Neighbours Behind! Beautiful 3 Bedroom, 3 Bath All Brick Home In Highly Desirable Amberlea Area Featuring Open Concept Living Room & Dining Room W/Gleaming Hardwood Floors, Recently Renovated Eat-In Kitchen (2015) W/Granite Counters, Backsplash & W/O To Deck And Spacious Yard. Master Bedroom W/Double Door Entry, Upgraded Windows And Doors, Finished Basement W/Rec Room, 3Pc Bath & More! All Situated Minutes To Schools, Transit, Shopping & All Amenities.","Interlocking Brick Walkway, Fully Fenced Yard, Upgraded Windows & Exterior Doors, Separate Entry To Garage, Hardwood Floors, Granite Counters, Upgraded Elf's, Painted In Neutral Colours, Circular Staircase, Finished Basement & More!",Finished,
Detached,2-Storey,Amberlea,"$550,000","$661,000","$5,416",Parkside,1909,4,1,3,33,4,150,Attached,Inground,"Furnace And Hot Water Tank Are Rentals. Certified Cheque Or Bank Draft For The Deposit Must Be Made Payable To ""Re/Max West Kabani Realty"" --Bully Offer Recevied--Call L.A. For Details.","Deal Alert! Get Into This Prestigious Pickering Neighbourhood Before It's Too Late. House Needs Updating So This Gives You An Opportunity To Select Finishes That Suit Your Taste. This Home Offers An Amazing Floor Plan Including A Grand Staircase To The Second Floor, 4 Large Bedrooms Master Bedroom Has Walkout To Large Balcony, 2 Full Washrooms Plus A Powder Room On The Main Floor. Large Partially Finished Basement. Huge Backyard And Double Car Garage.","Existing Kitchen Appliances, All Existing Lighting Fixtures, Central Air Conditioning Unit. This Home Is Being Sold As Is Where Is - Listing Broker/Brokerage And Sellers Do Not Guarantee/Warranty Any Condition Of The House Or Property.",Part Fin,
Detached,2-Storey,Amberlea,"$759,900","$918,000","$4,932",Parkside,1881,4,,4,45,2,109,Attached,Inground,"Please Include Form 801, Schedule B, Confirmation & Co-Operation With Offer. Offers If Any Will Be Presented On February 16th At 7:00 Pm","Fabulous Home, Unique Design & Layout. A Must See ! Great For Entertaining, Many Special Features Throughout, Professional Landscaping Front And Back, Large Sunlit Windows, Professionally Installed Upgraded Carpentry Trim Work. Sound Proofing In Basement. Beautiful Heated & Air Conditioned Solarium.","Fridge, Stove, Built-In Dishwasher, Washer, Dryer, Gas Burner & Equipment, Central Air, Central Vac & Equipment, In-Ground Pool & Existing Accessories, Gas Bbq Line, Large Cold Room, Wet Bar, 2 Garage Openers & Remotes, Hwt (R).",Finished,
Detached,Bungalow,Amberlea,"$1,100,000","$1,410,000","$5,200",Rosebank,1937,3,,1,85,5,126,Attached,None,"Offer Presentation Wed. Mar. 8th. Register By 5:00 P.M. Please Include Schedule B, Survey And Form 801 Attached.","*Immaculate Condition **Great Investment - Build A Dream Home ** Finished Basement, New (Hardwood Floors, Fixtures, Exterior Doors And Porcelain Tiles) Crown Moulding, Updated Bathroom, Furnace & A/C (2011), Exterior Pot Lights, Low E Argon Thermal Windows, Oversized 20 X 24 Garage, Insulated Garage Door, 200 Amp Breaker Panel, Extra Insulation In Roof, Upgraded Lighting Fixtures.","Fridge, Stove, Dishwasher, Washer, Dryer, Central Air, All Window Coverings, All Elf's, Garage Door Opener, Furnace & A/C (2011). Main Fl. Kit Fridge To Be Replaced With Bsmt Fridge.",Finished,Full
Detached,2-Storey,Amberlea,"$699,000","$800,000","$4,761",Shadybrook,1703,4,1,4,50,2,101,Built-In,None,Buyer/Agent To Verify Taxes And Measurements. All Offers Must Be Accompanied With Orea Form 801. Seller/Agent Does Not Warrant The Retrofit Status Of Basement. Listing Agent Is Related To Sellers. Offers To Be Reviewed At The Home On Tuesday February 21st At 7Pm. Register By 5Pm.,"Beautiful And Well Maintained Detached Four Bedroom Home On An Oversized 50 X 100 Ft Pool Sized Lot With An Extensive Deck And Private Back Yard. Situated On A Quiet Family Friendly Street In Popular Amberlea, This Spacious Home Features Hardwood Throughout The Main Floor, Upgraded Kitchen With Open Concept To Family Room. Complete Finished Basement With Separate Bedroom/Office And Kitchen. Several Million+ Dollar Homes Being Constructed In The Neighbourhood!","Ss 5 Burner Gas Stove, Ss B/I Hood Range, Stove (Bsmnt), Ss Lg Dble Door Fridge, White Viking B/I Dishwasher, White Kenmore Washer & Dryer, Cvc, All Electric Light Fixtures, All Window Coverings,Gazebo In Backyard. Hot Water Tank Is Rental.",Finished,
Detached,2-Storey,Amberlea,"$769,000","$888,000","$4,799",Shadybrook,1886,3,2,5,36,3,160,Attached,None,"Offer Review @6Pm Thus Jan 26 @ Property, Reg By 5Pm. Pls Include Sch B, Form 801 & Deposit Chq Cert. Buyer/B Agent To Verify All Measurement & Taxes. Seller/L-Agent Don't Warrant The Retrofit Status Of Bsmt. Seller Is An Rea- Bring Disclosure Form. Sellers Consider Pre-Emp Offer","Gorgeous Luxury Custom Reno! A Signature Home With Extraordinary Detail Thru-Out, Fully Reno From Top To Bottom With A Modern Open Concept Layout W/ Vaulted Ceilings. Spent $, Fully Finished Bsmt With In-Law Suite, Custom, Gourmet Kitchen W/ Quartz Countertops H/Wood Thru Out, Crown Moulding, New S/Appliances With Warranty & New Windows, New Doors New Garage Door With Remote, & Too Many Quality Upgrades To List! Walking Distance To School. Closing 401,Transit","2 S/S Fridges, Gas Burner Cook Top, S/S B/I Dishwasher, S/S Wall Oven W/ Built In Microwave- Washer & Dryer, S/S Stove (Bsmt) New Wiring Plumbing Aprvd By Esa-200 Amps All Elf Led & Garage Door Opener W/ Remote, A/C Hwt (R), Window Covering",Apartment,Finished
Detached,2-Storey,Amberlea,"$699,900","$825,000","$4,786",Stonepath,716,3,1,4,28,4,164,Attached,Inground,"Offers, If Any, Will Be Reviewed Thursday March 2nd. 7Pm At The House. Please Direct Any Inquiries To Patrick Devine At 416-456-7962","Don't Miss Out On This Great Family Home In A Highly Sought After Neighborhood. This Home Is Perfect As A Starter Home Or For A Growing Family Complete With A Large Finished Basement For The Teenagers. Massive Private Yard With Pool And Hot Tub Perfect For Entertaining. Freshly Painted And Move In Ready, Bright Sunroom, Large Double Garage For Loads Of Storage, Newer Appliances, Roof (2016)","Include: Fridge, Stove, Washer/Dryer, Dishwasher, Gb&E, Cac, All Window Coverings, All Electric Light Fixtures, Hot Tub. Exclude: Drapes In Basement, Fridge In Basement And Freezer In Garage.",Finished,
Detached,2-Storey,Amberlea,"$788,000","$931,529","$4,917",Sturgeon,1529,4,,3,29,2,119,Attached,None,"Excellent House In Excellent Location! ** Note-Offer Date Change: **Seller Requests Offers, If Any, To Be Reviewed On Tuesday March 7, At 7:00 P.M. At The Property. Please Register By 5:00 P.M. Please Have Cert. Bank Draft. No Pre-Emptive Offers As Per Seller","Fabulous Court Location In Amberlea! This Home Sparkles! Stunning Renovated Kitchen (2014) W/High-End S/S Appliances, B/I Wine Fridge & W/0 To Fantastic Pie-Shaped Yard With Hot Tub! Entertainer's Delight! 4 Great Bedrooms 2 1/2 Baths And Huge Open Concept Rec Rm W/Newer Berber Brdlm! Freshly Painted! Easy Access To Transit & Local Shopping! Great Schools - Highbush P.S, Dunbarton C.I, St. Mary's C.S.S., St. Elizabeth Seton C.S","Existing S/S Fridge, S/S Double Oven, S/S B/I Dishwasher, B/I Wine Fridge, Washer, Dryer, All Elfs, All Window Coverings, Gb & E (2010), Cac (2009), Cvac & Attach, Hot Tub (2011), Roof (2011), 200 Amp Service. Hwt Rented At $18.57/Mth",Finished,
Detached,2-Storey,Amberlea,"$748,000","$865,000","$5,913",Summerpark,506,4,,3,37,2,110,Built-In,None,"Buyer/Buyer Agent To Verify All Measurements/Taxes. Sch B, Form 801 & Disclosure To Accompany All Offers. Email To Anib@Rogers.Com. Offer Date Tue Mar 7th @ 7:00Pm. Pls Reg By 5Pm. 24Hr Irr. Seller Out Of Town. Seller Reserves The Right To Review Pre-Emptive Offers At Any Time.","Meticulously Kept Home In A Desirable Amberlea Community. Quiet Family Friendly Neighbourhood. Over 2800 Sq.Ft, 4 Large Bright Brs, 2nd Flr, Family Rm Could Be Converted To 5th Br. Spacious Family Rm With Gas Fireplace & Lrge Windows. Family Size Eat In Kitchen. Mn Fl Laudry W/Garage Access. Close To All Amenities, Roof 2015, Quick Access To 401, Excellent Schools And Fenced Yard. Very Comfortable House. Great Opportunity To Make This House Your Home.","S/S Fridge, Stove, Dishwasher, California Shutters, Gas Fireplace, Excluded: Dining Rm Chandelier, Hallway Light Fixture Near The Basement Stairs & The 2 Childrens' Rm Light Fixtures .",Full,Unfinished
Link,2-Storey,Amberlea,"$675,000","$725,000","$4,913",Swan,746,3,,4,22,2,108,Attached,None,"T.V. In Bsmt Excluded, Wall Mount Included. Submit Sch B To All Offers As Attached. Offers Being Presented Monday Jan 23rd At 1Pm. Please Register By 11Am. Min $25,000 Deposit.","Great Location Ravine Lot, Close To All Amenities, Schools, And Parks. Close To Both The 401 And 407. Upgraded Kitchen (2016) - Quartz Counter Top, New Hardwood Stairs And Wrought Iron (2016) New Upper Floor Flooring (2016) Landscaped (2016) 25Year Shingles (2015) Double Door Garden Shed (2016) Gazebo (2016) Rough In Speaker System. Crown Moulding.","Included - S/S Fridge,B/I Microwave, S/S Dishwasher (2016) Washer And Dryer. Excluded Drapes In Living Room. Hwt Rental - Enercare $26.74 Per Month.",Finished,
Detached,2-Storey,Amberlea,"$610,000","$725,000","$5,001",Una,1874,4,,3,40,4,113,Attached,None,"Please Don't Let Cat Out. Offers Will Be Reviewed On Jan 15th At 3 P.M. As Per Sellers Direction, Pre-Emptive Offers Will Not Be Reviewed. Please Include Form 801 And Allow 24 Hours Irrevocable. 1954 Sq Feet As Per Mpac","Rare Opportunity, Outstanding Value In Popular Amberlea. 2000 Sq Feet Family Home Waiting For Your Modern Touch. Walk Distance To Schools,Shopping,Church, Quick Access To 401, Go Transit, 407. Close To Recreation Centre, Library, Waterfront, Conservation Area. Cheery Front Foyer, Circular Staircase. Room To Work Galley Style Kitchen. Breakfast Area Overlooks Deck & Gardens. Family Room Has Cozy Fireplace For A Quiet Retreat, Plus Convenient W/O To Garden.","Fridge, Stove, B/I Dw, Washer Dryer,Freezer In Bsmt, Gdo (As Is) All Window Covs, All Light Fix, Electronic Air Cleaner, Central Vac & Equip. Luxurious Main Bath W/ Soaker Tub. Roof Re-Shingled Approx 2015, Oversize Fenced Lot & Newer Deck",Unfinished,
Detached,2-Storey,Amberlea,"$699,900","$695,000","$5,039",Whiskey,2011,3,1,3,50,4,106,Attached,None,"Thanks For Showing. Clients To Review Offers On Monday Jan 30, @ 7Pm, Reg By 5Pm. Buyer Or Buyer's Agent To Verify All Measurement & Taxes. Pls Attach Sch B & Form 801. Deposit Cheques Must Be Min 5% Of Sold Price. Certified Cheques Or Bank Drafts Only.","Beautiful Spacious Family Home In The Most Desirable Neighbourhood. Walking Distance To Parks, Transit (Bus Stop), Shopping, Places Of Worship & Schools. Stunning Layout With Combined Living & Dining. Bright & Spacious Kitchen With Eat-In. Separate Family Room With Wood Fireplace & Walkout To Deck And Large Backyard.","5 Appliances ( Fridge, Stove, Built-In Dishwasher, Washer, Dryer, Central Vac)",Finished,
Detached,2-Storey,Amberlea,"$699,000","$703,000","$4,647",Woodruff,1524,3,,3,33,2,149,Attached,None,"Please Include Schedule ""B"" & Form 801 With Offer.Survey Available.Huge 154Ft Irreg Lot.Walk To Middle & High Schools,Shopping A Few Blocks Away. **Offers If Any, Presenting Friday, Feb 17th, 6Pm At The Property - Seller Reserves The Right To Review & Accept Pre-Emptive Offers*","Beautiful ""Amberlea"" Home On 154 Foot Lot Fully Fenced & Landscaped.All Newer Windows,Sliding Doors & Front Door.Eat-In Kitchen With Walkout To 13'X16' Balcony.Upgrades Incl:Bathrooms,Hardwood Flrs Thru-Out Including Solid Wood Stairs And Upper Landing,Oak Garage Door,Extensive Interlocking Driveway And Walkway.Completely Finished Walkout Basement With Wet Bar,Gas Fireplace,New 17'X13' Deck With New Roof & Lighting.Handy To Everything!","Fridge,Stove,B/I Dw,Washer,Dryer,Elect Air Cleaner,Cac,All Blinds & Wind Cov's,Calif Shutters,All Elf's,Gdo & 2 Remotes,Attached Make-Up Mirror In Ensuite Bathrm,Cvac & Equip,Garden Shed,Bird Feeder.(Hwt-R Enercare $17.99+Hst/Mth).",Fin W/O,
Link,2-Storey,Bay Ridges,"$649,900","$665,000","$3,469",Albacore,1005,3,1,3,18,4,114,Attached,None,Offers Review On Tuesday 14th At 6 Pm. All Offers Must Be Registered By Email In 801 To Nolamattar@Gmail.Comno Later Than 3 Pm. Please Attach Schedule B To Offer.,"This Family Home Is Professionally Renovated Top To Bottom. Located In Quiet Court, Close To Go Train & Mins To 401. Entertainer's Dream Kitchen With Granite Counters & Ss Appliances. Hardwood Floor, Pot Lights & Crown Molding Throughout The House. Open Concept Living/Dining Room With French Doors W/Out To The Private Yard And Two Tiered Decks. Access Door To The Garage. Patterned Concrete Driveway. Move In And Relax Everything Is Done For You.","Windows 4Yr, Roof, A/C, Furnace 5Yr, Washer & Dryer 1 Yr. Include Ss Fridge, Stove, Dishwasher, Microwave, Washer, And Dryer. Air Condition Unit, Cvc And Equipment, Gdo, Hot Tub, All Window Coverings And All Light Fixtures.",Finished,
Semi-Detach...,Backsplit 3,Bay Ridges,"$575,000","$580,000","$3,381",Balaton,718,3,,1,35,3,100,None,None,Buyer & Buyers Agent To Verify All Room Msmt & Tax Amounts. Hwt Is A Rental. Pls Attach Sched B & Form 801 To All Ofrs. *Full Legal Des. Attched To Listing*,"Just Move In & Enjoy! Beautifully Upgraded Home In Pickering's High Demand South Bay Ridges Featuring Modern Open Concept Layout, Combined Living & Dining Room W/Bay Window, Hardwood Floors & Vaulted Ceiling. Spacious Renovated Kitchen - An Entertainer's Dream! Master Bedroom W/Double Closets, Finished Basement With Gas Fireplace, Completely Renovated Front Exterior, Extensive Landscaping Fully Fenced & Generous Sized Yard & The List Goes On & On!","Walking Distance To Liverpool Go, Lake Ontario, Beach, Parks & Shopping. Roof 2010, Furnace 2010, Washer & Dryer 2017, Gas Fireplace, Upgraded Bath, Hardwood Floors, Stunning Modern Upgrades & More!",Finished,
Detached,Bungalow,Bay Ridges,"$499,000","$591,000","$3,988",Colmar,1415,4,,2,60,3,100,Carport,None,"Offers If Any Will Be Reviewed Sat. Feb 11th @ 11:30Am. Pls Reg. Offers W/ Form 801. Vendor Reserves Right 2 Review Pre-Emptive Offers Without Notice. Easmnt @ Rear In Favour Of Bell Can. Please Attach Schedule ""B"" & Form 801 2 All Offers. Collateral Agrmnt In Effect.","Opportunity Knocks! Spacious 4 Bedroom Bungalow In Bay Ridges. This Massive 60-Ft Corner Lot Is Awaiting Your Final Touch. Great Floor Plan Complete With A Master & Ensuite. Roomy Basement Boasts A Comfortable Secondary Family Room & Above-Grade Windows. Out Back There Is A Large Patio & Cabana Perfect For Entertaining! Privacy Ensured With A Fully Fenced Yard. Convenient Location With Walking Distance To Go Station, Pickering Waterfront, Restaurants & Shops!","Fridge, Gb & E, Cac, Electric Light Fixtures, Stove, Washer, Dryer, All Built-In Shelving, All Window Treatments. (No Survey.)",Full,Part Fin
Detached,Bungalow,Bay Ridges,"$899,900","$775,000","$4,710",Commerce,1321,1,2,2,88,6,90,Attached,None,Please Provide Proof Of Mrtg Pre-Apprvl W/Offers. View Attach-Sched B To Accompany All Offers. Click Online Button Or Call L/B.,"Beautiful Bungalow On A Fantastic Lot Steps From Frenchman's Bay. This Home Features Large O/C Renovated Kitchen W/Center Island, Hardwood Floors, Pot Lights & Walk-Out. O/C Living Rm W/Hardwood Floors, Pot Lights & Crown Moulding. Dining Rm W/Hardwood Floors, Window & Crown Moulding. 3 Good Size Brms. Master Brm Has W/I Closet. Rec Rm Area W/Bar. Breezeway In Between House & Double Car Garage. Close To All Amenities: Schools, Shopping & Transit.","Updates Include: Shingles, Gas Furnace, Central Air Conditioning, Some Newer Windows.",Finished,
Detached,Backsplit 3,Bay Ridges,"$599,900","$660,000","$3,824",Cortez,717,3,,1,50,4,100,None,None,"Buyer & Agent To Verify Dimensions & Taxes. Hwt Is A Rental. No Survey. Offers If Any To Be Reviewed Thursday Feb 16th 7P. Please Regs By 5Pm. No Pre-Emptive Offers, Thx. Pls Att Sched B & Form 801. Bell/Hydro Easement @ Rear Of Property.","Demand Frenchman's Bay Pickering! Well-Kept Family Home, Walking Distance To Liverpool Go, Lake Ontario, Waterfront Trails, Shopping And Restaurants. Pickering Rec Centre, Museum, Conservation Areas Nearby. Public, Catholic And French Immersion Schools. Many Updates! Shingles 2014, Eaves 2016, High-Eff Furnace, Recent Breaker Panel, 100 Amp Copper Wiring. Doors And Most Windows Replaced. Mostly Orig Hdwd Flrs. Generous Yard, Lots Of Driveway Parking.","Fridge, Stove, Newer Washer & Dryer. Gas Fireplace In Family Room. All Exist Window Coverings, Light Fixtures And Garden Shed. Bar Sink Plumbing Disconnected.",Crawl Space,Finished
Detached,Bungalow,Bay Ridges,"$600,000","$721,000","$5,634",Douglas,865,3,1,2,50,4,100,Carport,None,"No Showings Prior To 11Am - All Showings Must Be Completed By 7Pm Latest. Attach Schedule B And 801. Offers To Be Reviewed On '''february 2nd At 4 Pm''', Register By Noon. Pls Be Courteous-Older Couple. See Attachment Re-Expenses.","Great Bungalow Close To Frenchman's Bay In Desirable Bay Ridges; Situated Across From Douglas Park-Conservation. Close To Schools, Waterfront Trail, Lake Ontario, Go Train, 401, Restaurants, Shopping. Meticulously Maintained Home With High Quality Windows, Updated Shingles, Beautiful Hardwood Under Carpet On Main Floor, Finished Basement With 3 Piece Bath, Bar And Room For A Kitchen. Separate Entrance Would Make For An Excellent In-Law Apartment.","Gorgeous Sunsets. Walk To Beach, Lake. Enjoy Lake The Breeze & Bbq's - Large Private Yard. Perfect For Families, Starters, And Down-Sizers. Security Blinds On Windows. Hwt-Rental. Fridge In Bsmt, Work Bench & Shelving. C-Vac-Equip.",Finished,Sep Entrance
Detached,Backsplit 3,Bay Ridges,"$599,000","$687,000","$4,115",Fordon,1385,3,1,2,50,6,100,None,None,"Please Min 1.5 Hour Notice,Showings 10Am-9Pm, Offers Will Be Reviewed On Mar. 27 @7 Pm At House. Register By 5Pm. Pls Attach Schedule ""B""& Form 801. Buyer/Buyer's Agent Verifies All Measurements.Seller Reserves The Right To Accept Pre-Emp Offer Without Notice , Thanks For Showing","Beautifully Maintained Home In A Very Convenient Location!Great Lot With Back To The Park! Close To Hwy401, The Pickering Go Station, Frenchman's Bay Marina, Restaurants, Public And Catholic Schools, Very Affordable Home, Terrific Opportunity!!! Newer Furnace And Ac, Newer Kitchen With Granite Counter Top, Newer Windows And Doors, This Home Shows A 10 - You Will Not Be Disappointed!","S/S Fridge, S/S Stove, B/I Dishwasher, B/I Microwave, Front Loader Washer/Dryer, All Elf's, All Window Coverings, Shed. Doors 2016, Windows 2010, Furnace/A/C 2007,Lots Of Upgrades. Hot Water Tank Owned .",Finished,
Detached,2-Storey,Bay Ridges,"$1,339,800","$1,200,000","$7,896",Front,710,3,,3,45,5,100,Built-In,None,Please Attach Schedule B And Form 801 To Offer.,"Custom Built, Open Concept Main Floor, Water View, Dream Home! Beautifully Built Designed With Tremendous Attention To Detail. Backyard Is An Oasis Equipped With Brook And Pond! Upper Floor Has 18' Of Windows Overlooking Frenchman's Bay. Southwest Views With Spectacular Sunsets From 2 Decks, And Hot Tub, Finished Basement With Wet Bar, Wine Cellar, Sound Studio/Home Theatre, 3rd Floor Loft Potential. One Of The Finest Home You Will See..","1 Stainless French Door Fridge, 1 Beverage Fridge, 1 Stainless Gas Stove, B/I Stainless Steal Dishwasher, B/I Microwave, 2 Electric Fireplace And 1 Gas Fireplace..",Finished,
Detached,Bungalow,Bay Ridges,"$599,900","$688,000","$4,216",Hewson,727,3,2,2,55,5,97,None,None,Tenanted Property...Showings Between 12Pm-8Pm Only. 2 Hrs Notice Required. Survey/Esa/Certification Attached To Listing. Sellers To Review Offers On Sunday Mar 5th At 7Pm By Email (Sellers Out Of Town) Pls Include Schedule B/Form 801 And Email Offers To Chris.Frost@Rogers.Com,"First Time Buyer? Looking For The Perfect Investment Property? Located On Quiet Bay Ridges St-This 3+2 All Brick Bungalow Is Registered With City Of Pickering As 2-Unit House (See Attached Info). Main Flr Offers Updtd Eat-In Kit, Ceramic & Hrdwd Flr, 3 Lrg Bdrms (Rented For 1500+2/3 Util) Bsmnt Unit Feat Sep Entrance, Newer Kit/Ceramic Flr, Open Concept Living Area W/ 2 Bds (Rented For 1100+1/3 Util) Shared Laundry In Bsmnt & Lrg D/Way For 5 Cars.","Short Walk To Go Station, Schools And Waterfront. Updates Include: Newer Shingles, Basement Kitchen/Flooring, Newer Doors, Updated Baths, Hardwood Flooring, Fenced Yard, New Shed, Updated Windows, Large Deck/Patio, Shared Laundry, Legal Apt",Apartment,Sep Entrance
Att/Row/Twn...,2-Storey,Bay Ridges,"$369,000","$474,000","$3,001",Krosno,726A,3,,1,30,3,194,None,None,Pls Attach Sch. B & 801. Offers Will Be Reviewed Wed. Feb 8th@7Pm. Register By 5Pm. - Email Only To Agnes@Soldbyagnes.Com With/24Hr Irrev. No Presentation/Bully. Estate Sale - No Representation/Warranties. Poa: Scott Anderson. Hot Water Tank $19.17/Mo W/Enercare,"Location Location Location! True As The Saying States! This Gem-In-The-Rough Is Walking Distance To The School, Lake Trails & Shops, Marina, Restaurants, Go Train, 401, Pickering Town Centre, Rec Centre++. Needs Some Tlc But Is A Solid Freehold Town W/No Maintenance Fees! It Sits On A Double & Extra Deep Lot Compared With Its Neighbours & Is An End Unit! Offers Tons Of Parking (Up To 6 Cars!), Great Layout & Backs Onto A Park With A Fully Fenced Yard.","Fridge, Gas Stove,Movable Dishwasher,Hood Fan,All Elfs,Washer&Dryer, C.Vac, Cac, Gb&E, Shed. New Roof Nov'16(Excl Patio)! Possibility To Add 2nd Bath In Bsmt. Tons Of Entertainment Space Outdoors. Orig Hrdwd Flr Under Main &2nd Flr Carpet",Finished,
Semi-Detach...,Bungalow,Bay Ridges,"$489,900","$600,000","$3,279",Krosno,771,3,,3,35,4,100,None,None,"Hwt $19.18 Incl Hst, (Furance & Central Air 2015 Will Be Paid Out On Closing) Owner Took Sick While Doing Reno's Some Work Needed! All Measurements,Taxes To Be Verify By Buyer, Sellers Do Not Warrant Retrofitted Apt.*Call La Presentation Tues.Mar.14th At 2Pm Register By 1:30Pm","Sought After Bay Ridges 3 Bdrm. Bungalow, Walking Distant To School & Shopping.Go Train,401 Transit At Door!, Lake W/ Beach Area & Marina Close By! Newer Kitchen Totally Renovated! W/ Pot Lights Cabinets, Backsplash & Granite Counter Tops. 2 Laundries Top And Bottom! Reno. Main Bathrm! Sep. Side Entrance To Bsmt.W/Sep. Bachelor Apt. Has/ Kit ,Large Liv. Rm + 4 Pc Bath, + Sep. Large Rec. Rm.Oversize Windows & 3Pc Bath (To Be Finished.!","All Win. Coverings, All Elf's,Main Fl . S.S. Fridge, Stove, B/I Dishwasher,B/I Microwave Stack Washer/Dryer, Bsmt.Appli. Fridge, Stove, Washer, Dryer ( As Is) Fixtures For 3 Pc. Bath In Bsmt. Vanity, Stand Up Shower & Toilet, New Roof /17",Finished,Sep Entrance
Semi-Detach...,Bungalow,Bay Ridges,"$559,000","$645,000","$3,393",Krosno,758,3,2,2,35,4,100,None,None,"Please Attache Scb B , Form 801 With All Offers.","Renovated Home In Bay Ridges Location - Great Starter Home- Sep. Entrance To Lower Level Apartment-Spacious Main Floor With Bright Eat In Kitchen, Living Rm / Dining Rm- 3rd Bedroom Has Walk Out To Deck, Walk To Frenchman's Bay Marina, Restaurants, And Public And Catholic Schools, Very Affordable Home, Also Close To 401 And The Pickering Go Station- Terrific Opportunity!!! Newer Furnance And Ac, Newer Kitchen Granite Counter Tops","2 Fridges, 2 Stoves Washer, Dryer, Built In Dishwashers, Broadloom Where Laid, Storage Shed Upgraded Electric Panel.",Finished,Sep Entrance
Detached,Bungalow,Bay Ridges,"$599,000","$647,000","$4,077",Krosno,928,3,1,2,57,3,105,Carport,None,"Lbx On Premises For Convenient Showings. Offers Gladly Reviewed March 6th @ 7Pm. Please Register No Later Than 4Pm. No Pre-Emptive Offers As Per Seller's Instructions. Pls Attach Sch B, Form 801 & Certify Deposit Cheque. Thanks For Showing","Welcome To 928 Krosno Blvd! This 3 Bedroom Bungalow Has So Many Upgrades Recently Completed & Added Bonus..1 Bedroom Legal Basement Apt (Registered W/City Of Pickering) W/Separate Entrance,Laminate Flrs,3Pc Bathroom. New Laminate Flrs On Main ('17),New Front Window('17),Updated Kitchen W/Travertine Flrs,Under Cabinet Lighting,Ss Appls. Renovated Bathroom,Upgraded Trim,Doors & Hardware('17),Freshly Painted('17) All Set On A Large Lot & Mins To Go Trans/Hwy 401","Incl: Stainless Steel Fridge, Fridge, B/I Dishwasher, B/I Microwave.Washer & Dryer, Basement Fridge & Stove. All Elfs, All Window Coverings (Exc: Living Draperies And Hardware), Fabulous Investment And Spotless Set On A Principle Sized Lot!",Apartment,Fin W/O
